date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:19:45	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-54d98d7a0641f%22	http://200.195.150.93/mentor_hackathon/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/vendor/bootstrap/fonts/glyphicons-halflings-regular.html	(from http://200.195.150.93/mentor_hackathon/vendor/bootstrap/css/bootstrap.min.css)
05:19:48	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-54d98d79fe71b%22	http://200.195.150.93/mentor_hackathon/vendor/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/vendor/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://200.195.150.93/mentor_hackathon/vendor/bootstrap/css/bootstrap.min.css)
05:19:50	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-54d98d7a01215%22	http://200.195.150.93/mentor_hackathon/vendor/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/vendor/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://200.195.150.93/mentor_hackathon/vendor/bootstrap/css/bootstrap.min.css)
05:19:50	23424/23424	---M--	200	added ('OK')	application/x-font-woff	etag:%225b80-54d98d7a048c6%22	http://200.195.150.93/mentor_hackathon/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://200.195.150.93/mentor_hackathon/vendor/bootstrap/css/bootstrap.min.css)
05:19:52	4178/4178	---M--	200	added ('OK')	image/gif	etag:%221052-54d98d78e2f7f%22	http://200.195.150.93/mentor_hackathon/img/ajax-loader.gif	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/img/ajax-loader.gif	(from http://200.195.150.93/mentor_hackathon/css/slick-theme.css)
05:19:52	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22800-54d98d7810be1%22	http://200.195.150.93/mentor_hackathon/fonts/slick.eot	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/fonts/slick.eot	(from http://200.195.150.93/mentor_hackathon/css/slick-theme.css)
05:19:52	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22800-54d98d7810be1%22	http://200.195.150.93/mentor_hackathon/fonts/slick.eot?	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/fonts/slickd41d.eot	(from http://200.195.150.93/mentor_hackathon/css/slick-theme.css)
05:19:52	1380/1380	---M--	200	added ('OK')	application/x-font-woff	etag:%22564-54d98d7815a03%22	http://200.195.150.93/mentor_hackathon/fonts/slick.woff	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/fonts/slick.woff	(from http://200.195.150.93/mentor_hackathon/css/slick-theme.css)
05:19:53	2152/2152	---M--	200	added ('OK')	image/svg+xml	etag:%22868-54d98d7812352%22	http://200.195.150.93/mentor_hackathon/fonts/slick.svg	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/fonts/slick.svg	(from http://200.195.150.93/mentor_hackathon/css/slick-theme.css)
05:19:53	1892/1892	---M--	200	added ('OK')	application/x-font-ttf	etag:%22764-54d98d7813ac2%22	http://200.195.150.93/mentor_hackathon/fonts/slick.ttf	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/fonts/slick.ttf	(from http://200.195.150.93/mentor_hackathon/css/slick-theme.css)
05:19:53	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	etag:%22b15c-54d98d7a02985%22	http://200.195.150.93/mentor_hackathon/vendor/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/vendor/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://200.195.150.93/mentor_hackathon/vendor/bootstrap/css/bootstrap.min.css)
05:20:20	839070/839070	---M--	200	added ('OK')	image/png	etag:%22ccd9e-54d98d798af44%22	http://200.195.150.93/mentor_hackathon/img/paranacidade_demoday.png	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/img/paranacidade_demoday.png	(from http://200.195.150.93/mentor_hackathon/pagina_login.php)
